Index,True_Class,Pred_Class_Mean,Pred_Class_Mode,True_Vector,Mean_Vector,Mode_Vector,Std_Vector,VAE_Init,Time,MAE_Mean,MSE_Mean,RMSE_Mean,R2_Mean,CosSim_Mean,SMAPE_Mean,MAE_Mode,MSE_Mode,RMSE_Mode,R2_Mode,CosSim_Mode,SMAPE_Mode
711,3,3,3,"[0.0, 0.0, 0.50521, 0.0, 0.0, 0.0, 0.0]","[0.01832137070596218, 0.013499644584953785, 0.500522255897522, 0.05908763036131859, 0.0, 0.008233271539211273, 0.021125655621290207]","[0.0, 0.0, 0.5, 0.005555555555555556, 0.0, 0.0, 0.0]","[0.026498539373278618, 0.026959935203194618, 0.005817458964884281, 0.07048571109771729, 0.0, 0.022606931626796722, 0.03699025511741638]","[0.0029204078018665314, 0.0010000000474974513, 0.5161882042884827, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.003920026123523712]",3.1135590076446533,0.017850759559316302,0.0006493308743741763,0.02548197155587017,0.9792237574742981,0.9910926280763466,142.99031502597776,0.0015379365079365148,8.286899647266385e-06,0.0028786975609234092,0.9997348491444771,0.9999382773199426,28.719514188222217
2550,1,1,1,"[0.19540000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.19635602831840515, 0.023538829758763313, 0.003199072787538171, 0.003923478070646524, 0.015650508925318718, 0.03763492405414581, 0.0323062539100647]","[0.19444444444444445, 0.005555555555555556, 0.0, 0.0, 0.0, 0.03333333333333333, 0.03888888888888889]","[0.006919563747942448, 0.02405068278312683, 0.01497894898056984, 0.0192234069108963, 0.023904183879494667, 0.023001305758953094, 0.02007746323943138]","[0.19372229278087616, 0.009003356099128723, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.002092398703098297]",2.1769111156463623,0.016744156546411766,0.0004693768890446886,0.021665107639813115,0.8996037680923011,0.959944781556564,171.49829618795505,0.01124761904761905,0.0003793191534391535,0.01947611751451386,0.9188664491487489,0.9666443091656881,85.78431771728242
3165,4,4,4,"[0.0, 0.0, 0.0, 0.48497999999999997, 0.0, 0.0, 0.0]","[0.006531492341309786, 0.004359258804470301, 0.0019851624965667725, 0.4841621518135071, 0.009914074093103409, 0.015473994426429272, 0.022033395245671272]","[0.0, 0.0, 0.0, 0.48333333333333334, 0.0, 0.0, 0.005555555555555556]","[0.014727634377777576, 0.015458865091204643, 0.011904723942279816, 0.006240255665034056, 0.024095386266708374, 0.03438179939985275, 0.03157024458050728]","[0.0012013167142868042, 0.0010000000474974513, 0.0010000000474974513, 0.5026988387107849, 0.0010000000474974513, 0.0032429099082946777, 0.003315359354019165]",2.1823439598083496,0.008730746513434815,0.00012706816428679184,0.011272451565067461,0.9955880160170052,0.9981095571746997,171.45268253652287,0.0010288888888888837,4.796529805996456e-06,0.0021900981270245533,0.9998334577917546,0.999933947620391,28.620015756411004
2219,2,2,2,"[0.0, 0.18897000000000003, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.04535535350441933, 0.18457111716270447, 0.04766625538468361, 0.035898614674806595, 0.012117128819227219, 0.006019130814820528, 0.0006994631257839501]","[0.05, 0.18888888888888888, 0.061111111111111116, 0.005555555555555556, 0.0, 0.0, 0.0]","[0.013724055141210556, 0.009490307420492172, 0.02954375371336937, 0.03664187341928482, 0.016657980158925056, 0.015890318900346756, 0.005982670001685619]","[0.0010000000474974513, 0.17670264840126038, 0.015627693384885788, 0.0010000000474974513, 0.0010000000474974513, 0.005233336240053177, 0.0010000000474974513]",2.171104907989502,0.021736404165862398,0.000831540670706745,0.028836446915435767,0.8098297405720138,0.9243828671026856,171.76503336276093,0.016678253968253974,0.0008950626682539684,0.029917597969321807,0.7953024959302426,0.9222935866073141,85.72041885124665
3245,4,4,4,"[0.0, 0.0, 0.0, 0.45224, 0.0, 0.0, 0.0]","[0.0020578810945153236, 0.0014021795941516757, 0.029660312458872795, 0.4462071359157562, 0.0031915283761918545, 0.013843084685504436, 0.06208246201276779]","[0.0, 0.0, 0.011111111111111112, 0.45, 0.0, 0.0, 0.061111111111111116]","[0.009786663576960564, 0.009830496273934841, 0.03112167678773403, 0.005705890245735645, 0.014344509690999985, 0.03274082392454147, 0.029881443828344345]","[0.001149812713265419, 0.0010000000474974513, 0.0010000000474974513, 0.46707990765571594, 0.0012133382260799408, 0.0037833228707313538, 0.0010000000474974513]",2.1991541385650635,0.016895758900892517,0.0007111970718547404,0.026668278381904227,0.9716014056242059,0.9878156045360582,171.62042194305764,0.010637460317460313,0.0005518631844797178,0.02349176844087558,0.9779637187114649,0.9906080040906552,57.213791705722905
1649,7,7,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07818000000000003]","[4.119000004720874e-05, 0.0005150687065906823, 3.655679392977618e-05, 0.0, 0.01955425925552845, 0.024541139602661133, 0.13215923309326172]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.005555555555555556, 0.08888888888888889]","[0.0004098357167094946, 0.0038143929559737444, 0.0003637352492660284, 0.0, 0.03014281764626503, 0.030799588188529015, 0.06413524597883224]","[0.0015897713601589203, 0.0066835917532444, 0.0010000000474974513, 0.0010000000474974513, 0.024513620883226395, 0.06138399988412857, 0.18527790904045105]",2.189578056335449,0.014095349636002705,0.000556951788879171,0.023599826034934473,0.25583181206224337,0.972944201766313,150.18941168775518,0.00232349206349206,2.0792071252204515e-05,0.0045598323710641505,0.9722187839303582,0.9980525784828886,30.40281834126023
665,1,1,1,"[0.39551000000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.38612934947013855, 0.02174525335431099, 0.003344948636367917, 0.0005462527042254806, 0.007807559799402952, 0.016340194270014763, 0.008719485253095627]","[0.3888888888888889, 0.0, 0.0, 0.0, 0.0, 0.005555555555555556, 0.0]","[0.007953821681439877, 0.03638523817062378, 0.01284822728484869, 0.003947586752474308, 0.02484123222529888, 0.02518955059349537, 0.016892973333597183]","[0.37074950337409973, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.005071232095360756, 0.0018081404268741608, 0.0010000000474974513]",2.1653711795806885,0.009697763506754173,0.00013947558329791506,0.011809978124362257,0.992718378863468,0.9970341819010673,171.77146433275948,0.0017395238095238128,1.0671901410934785e-05,0.0032667876286858293,0.9994428505617727,0.9998979747995099,28.812600003278217
2522,4,4,4,"[0.0, 0.0, 0.0, 0.060460000000000014, 0.0, 0.0, 0.0]","[0.000285982241621241, 0.0006112520350143313, 0.03551066666841507, 0.06150402873754501, 0.0030487424228340387, 0.00603462802246213, 0.0005456148646771908]","[0.0, 0.0, 0.02777777777777778, 0.061111111111111116, 0.0, 0.0, 0.0]","[0.00207192893140018, 0.006081882864236832, 0.021245911717414856, 0.012811750173568726, 0.011932139284908772, 0.027224108576774597, 0.0054026152938604355]","[0.0010000000474974513, 0.0010000000474974513, 0.04222681373357773, 0.04109266400337219, 0.004952775314450264, 0.003488287329673767, 0.0010000000474974513]",2.1793317794799805,0.006725844998938428,0.00018693744563482378,0.013672506925755196,0.5823573449245152,0.8620558180699572,171.6731467579538,0.00406126984126984,0.00011028984056437391,0.010501896998370052,0.7535980997026291,0.9103664774626048,28.72445155882376
3030,5,5,5,"[0.0, 0.0, 0.0, 0.0, 0.41157, 0.0, 0.0]","[0.0, 0.0061445292085409164, 0.0499006062746048, 0.00245753419585526, 0.4296790361404419, 0.02669445425271988, 0.05275976285338402]","[0.0, 0.0, 0.03888888888888889, 0.0, 0.4277777777777778, 0.005555555555555556, 0.03888888888888889]","[0.0, 0.01624726690351963, 0.02046804316341877, 0.010744252242147923, 0.009489710442721844, 0.03614030033349991, 0.03412184864282608]","[0.0010000000474974513, 0.0010000000474974513, 0.016167420893907547, 0.0037194695323705673, 0.4454456865787506, 0.0010000000474974513, 0.0010000000474974513]",2.205383062362671,0.022295131846506683,0.0009082841248890347,0.030137752485695325,0.9562095778813401,0.9840588267436147,143.47218193636465,0.014220158730158737,0.0004740353737213406,0.02177235342633728,0.9771456876261376,0.991754325594684,86.26599905330878
1115,3,3,3,"[0.0, 0.0, 0.19006, 0.0, 0.0, 0.0, 0.0]","[0.0019144831458106637, 0.0775347501039505, 0.1762388050556183, 0.13437776267528534, 0.05860361456871033, 0.0, 0.0455751046538353]","[0.0, 0.06666666666666667, 0.17222222222222222, 0.17222222222222222, 0.061111111111111116, 0.0, 0.011111111111111112]","[0.008115239441394806, 0.026663482189178467, 0.02229936234652996, 0.04288512095808983, 0.016104524955153465, 0.0, 0.056942377239465714]","[0.0035059936344623566, 0.0010000000474974513, 0.19188125431537628, 0.033387549221515656, 0.0010000000474974513, 0.0010000000474974513, 0.008407346904277802]",2.178013801574707,0.04740384429885341,0.004253597865061365,0.06521961257981655,0.038343859389664114,0.7156598146112736,143.9352006577006,0.046992698412698417,0.005468735611287477,0.07395090000322833,-0.2363752636717933,0.6622782690872149,115.69249265459096
